fold,model,store_nbr,item_nbr,family,wmape,bias,sigma_error
1,seasonal_naive,2,100042,CLEANING,1.326086956521739,-1.1333333333333333,4.853079532871984
1,seasonal_naive,2,100043,CLEANING,12.0,0.8,1.082325538564332
1,seasonal_naive,2,100044,CLEANING,0.9111111111111111,-9.466666666666667,10.534749754073532
1,seasonal_naive,2,100045,CLEANING,0.8294930875576036,-1.7333333333333334,15.294567974408741
1,seasonal_naive,2,100046,CLEANING,1.24,-0.3333333333333333,3.657998411830216
1,seasonal_naive,2,100047,DAIRY,0.9505303150229539,-3.4917333333333334,7.450770932946342
1,seasonal_naive,2,100048,DAIRY,1.4367960386372354,0.48019999999999996,3.769545713440054
1,seasonal_naive,2,100049,DAIRY,2.4139271827500886,1.1350666666666667,3.3312699308793565
1,seasonal_naive,2,100050,DAIRY,1.8070482211312127,4.910333333333333,9.439084486981827
1,seasonal_naive,2,100051,DAIRY,1.6298025538617313,2.7378666666666667,3.9193170845855034
1,seasonal_naive,2,100052,DAIRY,1.0475631395167693,4.099533333333334,23.944606791708317
1,seasonal_naive,2,100053,BREAD/BAKERY,1.3308641975308644,-0.4036,4.781459980263052
1,seasonal_naive,2,100054,BREAD/BAKERY,1.0247905201051117,-0.4450666666666668,7.497379117938164
1,seasonal_naive,2,100055,BREAD/BAKERY,1.0,-0.984,3.717378531015794
1,seasonal_naive,2,100056,BREAD/BAKERY,0.897596047637218,-0.16240000000000013,8.839754616827001
1,seasonal_naive,2,100057,BREAD/BAKERY,1.46875,-1.0,3.6839419880650364
1,seasonal_naive,2,100058,DELI,1.1179627827420449,-0.7939333333333333,3.972362817314268
1,seasonal_naive,2,100059,DELI,0.7850694941968763,-1.4610666666666667,1.6435657867083069
1,seasonal_naive,2,100060,EGGS,1.1418333333333333,0.3801333333333333,1.416456386634652
1,seasonal_naive,3,100001,GROCERY I,2.875,2.8,3.726354020448713
1,seasonal_naive,3,100002,GROCERY I,1.0047846889952152,7.6,52.13142731870781
1,seasonal_naive,3,100003,GROCERY I,1.2784810126582278,-0.5333333333333333,16.40063877966198
1,seasonal_naive,3,100004,GROCERY I,0.8006644518272426,-10.866666666666667,16.902521649009596
1,seasonal_naive,3,100005,GROCERY I,1.0,-0.9333333333333333,4.97804704487135
1,seasonal_naive,3,100006,GROCERY I,2.7115384615384617,6.733333333333333,9.676677902983815
1,seasonal_naive,3,100007,GROCERY I,1.5185185185185186,1.8666666666666667,7.39562290109752
1,seasonal_naive,3,100008,GROCERY I,1.7142857142857142,0.0,2.1712405933672376
1,seasonal_naive,3,100009,GROCERY I,3.857142857142857,1.7333333333333334,4.934813162864523
1,seasonal_naive,3,100010,GROCERY I,1.0,-0.13333333333333333,2.2635833370586393
1,seasonal_naive,3,100011,GROCERY I,3.0,0.3333333333333333,1.877181270897812
1,seasonal_naive,3,100012,GROCERY I,1.9210526315789473,2.066666666666667,6.4305816962683044
1,seasonal_naive,3,100013,GROCERY I,1.175,14.6,22.771536117329834
1,seasonal_naive,3,100014,GROCERY I,1.3265306122448979,0.9333333333333333,11.91917223076614
1,seasonal_naive,3,100015,GROCERY I,0.39223300970873787,-3.466666666666667,16.953156750573736
1,seasonal_naive,3,100016,GROCERY I,1.7063492063492063,7.933333333333334,15.219661469234303
1,seasonal_naive,3,100017,GROCERY I,0.8869257950530035,-13.133333333333333,15.918841786057294
1,seasonal_naive,3,100018,GROCERY I,1.4285714285714286,-1.3333333333333333,6.377042156569664
1,seasonal_naive,3,100019,GROCERY I,1.1081081081081081,-3.2666666666666666,16.425009965931597
1,seasonal_naive,3,100020,BEVERAGES,0.7463414634146341,0.3333333333333333,14.013598837591733
1,seasonal_naive,3,100021,BEVERAGES,1.0,0.0,3.9821028185046727
1,seasonal_naive,3,100022,BEVERAGES,0.925,2.6666666666666665,11.90838040245288
1,seasonal_naive,3,100023,BEVERAGES,1.0635838150289016,2.933333333333333,14.66515143688147
1,seasonal_naive,3,100024,BEVERAGES,2.3333333333333335,0.7333333333333333,5.297798284822353
1,seasonal_naive,3,100025,BEVERAGES,1.1951219512195121,-1.6666666666666667,4.287301293465667
1,seasonal_naive,3,100026,BEVERAGES,1.0,-0.3333333333333333,2.9439202887759492
1,seasonal_naive,3,100027,BEVERAGES,0.797752808988764,-1.8,6.383013171132983
1,seasonal_naive,3,100028,BEVERAGES,1.7264150943396226,6.333333333333333,14.341083176199303
1,seasonal_naive,3,100029,BEVERAGES,4.083333333333333,2.8666666666666667,4.068461742769735
1,seasonal_naive,3,100030,BEVERAGES,1.1886792452830188,-1.4666666666666666,12.246671073436747
1,seasonal_naive,3,100031,BEVERAGES,1.0671140939597314,2.066666666666667,14.027863428938575
1,seasonal_naive,3,100032,BEVERAGES,1.460431654676259,12.733333333333333,16.17964623781844
1,seasonal_naive,3,100033,PRODUCE,0.4579831932773109,-1.3477333333333334,9.494891675201437
1,seasonal_naive,3,100034,PRODUCE,0.9079999999999999,8.096266666666667,14.95652986618538
1,seasonal_naive,3,100035,PRODUCE,2.5714446065776184,0.8121333333333334,4.354076216057557
1,seasonal_naive,3,100036,PRODUCE,0.6524498198872303,1.6287333333333331,16.144928829939435
1,seasonal_naive,3,100037,PRODUCE,3.0434782608695654,2.2666666666666666,6.507870692659846
1,seasonal_naive,3,100038,PRODUCE,1.050027258818081,-1.2548666666666672,14.747845464273595
1,seasonal_naive,3,100039,PRODUCE,0.985315712187959,0.7813333333333332,5.248391803572741
1,seasonal_naive,3,100040,PRODUCE,1.6912763440389083,2.48,6.45415245072061
